field_name,predicted_sensitivity,confidence,rule_used,rule_description,needs_manual_review,alternative_matches,reasoning,service,law,section,existing_sensitivity
WERKZAME_VERZEKERDE_JAREN,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SVB,algemene_ouderdomswet,input,
GEBOORTEDATUM,4,0.95,birth_dates,Exact birth dates,False,"[{'rule': 'dates_administrative', 'sensitivity': 1, 'confidence': 0.587}]","Matched rule 'birth_dates': Exact match with 'GEBOORTEDATUM', Ends with 'GEBOORTEDATUM', Contains 'GEBOORTEDATUM'",SVB,algemene_ouderdomswet,input,
PARTNER_GEBOORTEDATUM,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'birth_dates', 'sensitivity': 4, 'confidence': 0.62}, {'rule': 'dates_administrative', 'sensitivity': 1, 'confidence': 0.587}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_GEBOORTEDATUM'",SVB,algemene_ouderdomswet,input,
LEEFTIJD,2,0.9,age_demographics,Age and age-related demographics,False,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Exact match with 'LEEFTIJD', Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SVB,algemene_ouderdomswet,input,
HEEFT_PARTNER,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',SVB,algemene_ouderdomswet,input,
PARTNER_BSN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.512}, {'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_BSN'",SVB,algemene_ouderdomswet,input,
PARTNER_LEEFTIJD,2,0.587,age_demographics,Age and age-related demographics,True,"[{'rule': 'partner_personal_data', 'sensitivity': 4, 'confidence': 0.352}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}]","Matched rule 'age_demographics': Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SVB,algemene_ouderdomswet,input,
INKOMEN,4,0.582,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'INKOMEN',SVB,algemene_ouderdomswet,input,
PARTNER_INKOMEN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.582}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_INKOMEN'",SVB,algemene_ouderdomswet,input,
PENSIOENLEEFTIJD,2,0.587,age_demographics,Age and age-related demographics,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SVB,algemene_ouderdomswet,input,
PARTNER_PENSIOENLEEFTIJD,2,0.587,age_demographics,Age and age-related demographics,True,"[{'rule': 'partner_personal_data', 'sensitivity': 4, 'confidence': 0.352}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}]","Matched rule 'age_demographics': Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SVB,algemene_ouderdomswet,input,
is_gerechtigd,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',SVB,algemene_ouderdomswet,output,
basisbedrag,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SVB,algemene_ouderdomswet,output,
opbouwpercentage,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SVB,algemene_ouderdomswet,output,
pensioenbedrag,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SVB,algemene_ouderdomswet,output,
standaardpremie,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),VWS,zorgtoeslagwet/regelingen/regeling_vaststelling_standaardpremie_en_bestuursrechtelijke_premies,output,
standaardpremie,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),VWS,zorgtoeslagwet/regelingen/regeling_vaststelling_standaardpremie_en_bestuursrechtelijke_premies,output,
WET,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,JenV,awb/bezwaar,sources,
GEBEURTENISSEN,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,JenV,awb/bezwaar,sources,
bezwaar_mogelijk,1,0.158,boolean_flags,Boolean flags and indicators,True,[],Partial match with rule 'boolean_flags' (score: 0.17),JenV,awb/bezwaar,output,
reden_niet_mogelijk,1,0.162,identifiers_administrative,Administrative identifiers and codes,True,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Partial match with rule 'identifiers_administrative' (score: 0.19),JenV,awb/bezwaar,output,
bezwaartermijn,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),JenV,awb/bezwaar,output,
beslistermijn,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),JenV,awb/bezwaar,output,
verdagingstermijn,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),JenV,awb/bezwaar,output,
WET,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,JenV,awb/beroep,sources,
ADRES,5,0.55,full_addresses,Full address information,True,[],"Matched rule 'full_addresses': Ends with 'ADRES', Contains 'ADRES'",JenV,awb/beroep,sources,
JURISDICTIE,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,JenV,awb/beroep,sources,
GEBEURTENISSEN,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,JenV,awb/beroep,sources,
beroep_mogelijk,3,0.308,work_categories,Employment and work categorization,True,"[{'rule': 'boolean_flags', 'sensitivity': 1, 'confidence': 0.158}]",Matched rule 'work_categories': Contains 'BEROEP',JenV,awb/beroep,output,
reden_niet_mogelijk,1,0.162,identifiers_administrative,Administrative identifiers and codes,True,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Partial match with rule 'identifiers_administrative' (score: 0.19),JenV,awb/beroep,output,
beroepstermijn,3,0.308,work_categories,Employment and work categorization,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'work_categories': Contains 'BEROEP',JenV,awb/beroep,output,
direct_beroep,3,0.308,work_categories,Employment and work categorization,True,"[{'rule': 'boolean_flags', 'sensitivity': 1, 'confidence': 0.158}]",Matched rule 'work_categories': Contains 'BEROEP',JenV,awb/beroep,output,
reden_direct_beroep,3,0.308,work_categories,Employment and work categorization,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}, {'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Matched rule 'work_categories': Contains 'BEROEP',JenV,awb/beroep,output,
bevoegde_rechtbank,1,0.162,identifiers_administrative,Administrative identifiers and codes,True,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Partial match with rule 'identifiers_administrative' (score: 0.19),JenV,awb/beroep,output,
type_rechter,2,0.75,general_categories,General demographic categories,False,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}, {'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Matched rule 'general_categories': Contains 'TYPE',JenV,awb/beroep,output,
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',SZW,participatiewet/bijstand,parameters,
LEEFTIJD,2,0.9,age_demographics,Age and age-related demographics,False,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Exact match with 'LEEFTIJD', Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SZW,participatiewet/bijstand,input,
GEBOORTEDATUM,4,0.95,birth_dates,Exact birth dates,False,"[{'rule': 'dates_administrative', 'sensitivity': 1, 'confidence': 0.587}]","Matched rule 'birth_dates': Exact match with 'GEBOORTEDATUM', Ends with 'GEBOORTEDATUM', Contains 'GEBOORTEDATUM'",SZW,participatiewet/bijstand,input,
PENSIOENLEEFTIJD,2,0.587,age_demographics,Age and age-related demographics,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SZW,participatiewet/bijstand,input,
HEEFT_NEDERLANDSE_NATIONALITEIT,1,0.396,boolean_flags,Boolean flags and indicators,True,"[{'rule': 'location_categories', 'sensitivity': 3, 'confidence': 0.224}]",Matched rule 'boolean_flags': Starts with 'HEEFT_',SZW,participatiewet/bijstand,input,
VERBLIJFSVERGUNNING_TYPE,2,0.417,general_categories,General demographic categories,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}, {'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Matched rule 'general_categories': Contains 'TYPE',SZW,participatiewet/bijstand,input,
VERBLIJFSADRES,5,0.95,full_addresses,Full address information,False,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}, {'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]","Matched rule 'full_addresses': Exact match with 'VERBLIJFSADRES', Ends with 'ADRES', Contains 'ADRES'",SZW,participatiewet/bijstand,input,
INKOMEN,4,0.582,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'INKOMEN',SZW,participatiewet/bijstand,input,
BEZITTINGEN,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SZW,participatiewet/bijstand,input,
HEEFT_PARTNER,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',SZW,participatiewet/bijstand,input,
PARTNER_BSN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.512}, {'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_BSN'",SZW,participatiewet/bijstand,input,
PARTNER_INKOMEN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.582}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_INKOMEN'",SZW,participatiewet/bijstand,input,
PARTNER_BEZITTINGEN,4,0.352,partner_personal_data,Detailed partner information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'partner_personal_data': Starts with 'PARTNER_',SZW,participatiewet/bijstand,input,
HUISHOUDLEDEN,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'household_composition', 'sensitivity': 2, 'confidence': 0.224}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SZW,participatiewet/bijstand,input,
IS_STUDENT,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',SZW,participatiewet/bijstand,input,
ONTVANGT_STUDIEFINANCIERING,2,0.308,education_level,Education and study information,True,"[{'rule': 'boolean_flags', 'sensitivity': 1, 'confidence': 0.158}]",Matched rule 'education_level': Contains 'STUDIE',SZW,participatiewet/bijstand,input,
IS_GEDETINEERDE,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',SZW,participatiewet/bijstand,input,
is_gerechtigd,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',SZW,participatiewet/bijstand,output,
basisbedrag,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SZW,participatiewet/bijstand,output,
kostendelersnorm,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SZW,participatiewet/bijstand,output,
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',GEMEENTE_AMSTERDAM,participatiewet/bijstand,parameters,
ARBEIDSVERMOGEN,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,GEMEENTE_AMSTERDAM,participatiewet/bijstand,sources,
VOLDOET_AAN_LANDELIJKE_VOORWAARDEN,1,0.158,boolean_flags,Boolean flags and indicators,True,[],Partial match with rule 'boolean_flags' (score: 0.17),GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
LANDELIJK_BASISBEDRAG,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
KOSTENDELERSNORM,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
LEEFTIJD,2,0.9,age_demographics,Age and age-related demographics,False,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Exact match with 'LEEFTIJD', Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
HEEFT_VAST_ADRES,5,0.55,full_addresses,Full address information,True,"[{'rule': 'boolean_flags', 'sensitivity': 1, 'confidence': 0.396}]","Matched rule 'full_addresses': Ends with 'ADRES', Contains 'ADRES'",GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
POSTADRES,5,0.95,full_addresses,Full address information,False,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}, {'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]","Matched rule 'full_addresses': Exact match with 'POSTADRES', Ends with 'ADRES', Contains 'ADRES'",GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
IS_ONDERNEMER,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
BEDRIJFSINKOMEN,4,0.582,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'INKOMEN',GEMEENTE_AMSTERDAM,participatiewet/bijstand,input,
is_gerechtigd,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',GEMEENTE_AMSTERDAM,participatiewet/bijstand,output,
uitkeringsbedrag,4,0.403,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'UITKERING',GEMEENTE_AMSTERDAM,participatiewet/bijstand,output,
woonkostentoeslag,3,0.308,housing_situation,Housing and living situation categories,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'housing_situation': Contains 'WOONKOSTEN',GEMEENTE_AMSTERDAM,participatiewet/bijstand,output,
startkapitaal,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),GEMEENTE_AMSTERDAM,participatiewet/bijstand,output,
GEBOORTEDATUM,4,0.95,birth_dates,Exact birth dates,False,"[{'rule': 'dates_administrative', 'sensitivity': 1, 'confidence': 0.587}]","Matched rule 'birth_dates': Exact match with 'GEBOORTEDATUM', Ends with 'GEBOORTEDATUM', Contains 'GEBOORTEDATUM'",SVB,algemene_ouderdomswet/leeftijdsbepaling,parameters,
LEVENSVERWACHTING_65,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),SVB,algemene_ouderdomswet/leeftijdsbepaling,input,
pensioenleeftijd,2,0.587,age_demographics,Age and age-related demographics,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",SVB,algemene_ouderdomswet/leeftijdsbepaling,output,
